time upper_pv_pressure
1691263171.697509 -124386 
1691263188.7023554 -124693 
1691263201.8272936 -124386 
1691263252.9583347 -124693 
1691263265.9337058 -124693 
1691263268.903305 -124693 
1691263273.9710968 -124693 
1691263278.9302657 -124693 
1691263286.959387 -124386 
1691263307.9724126 -124693 
1691263319.087122 -124386 
1691263328.9916866 -124693 
1691263353.0883443 -124386 
1691263356.1607616 -124080 
1691263360.1650681 -124386 
1691263381.2036223 -124693 
1691263395.2430341 -124386 
1691263409.1712692 -124386 
1691263412.2591717 -124386 
1691263420.284113 -124386 
1691263425.2370212 -124386 
1691263433.2673705 -124693 
1691263444.2436883 -124386 
1691263450.278086 -124693 
1691263458.3106222 -124693 
1691263469.286965 -124386 
1691263491.3638065 -125000 
1691263502.3380373 -124386 
1691263504.3554394 -124386 
1691263523.4910276 -4794 
1691263534.465564 -4794 
1691263536.4847746 -4794 
1691263549.4602528 -4487 
1691263563.5264034 -4487 
1691263569.5368314 -3874 
1691263575.5823514 -6327 
1691263576.5016627 -2340 
1691263582.5370693 -4794 
1691263620.6856434 -5100 
1691263637.6803074 -4794 
1691263656.6962864 -3874 
1691263662.713421 -4180 
1691263691.7653637 -4794 
1691263701.7970529 -4487 
1691263744.903032 -2647 
1691263756.9466538 -4487 
1691263766.9988484 -4487 
1691263782.1185446 -5100 
1691263791.2200184 -4180 
1691263823.2241733 -5407 
1691263825.2223673 -5100 
1691263828.308981 -2954 
1691263847.32023 -4794 
1691263871.2689798 -2954 
1691263882.392808 -5100 
1691263982.282597 -3260 
1691264028.422435 -4487 
1691264034.4385147 -4180 
1691264037.5281901 -5407 
1691264042.4721591 -4487 
1691264053.585172 -4487 
1691264064.6922069 -4794 
1691264081.7007506 -4794 
1691264091.8732836 -5407 
1691264113.9528468 -3874 
1691264118.9178884 -5100 
1691264121.0522416 -4794 
1691264132.0361445 -4487 
1691264141.1330745 -5100 
1691264142.0664046 -5713 
1691264151.1739535 -4794 
1691264158.2793407 -5407 
1691264162.28555 -4180 
1691264168.3052034 -4794 
1691264169.2459652 -2954 
1691264179.2779453 -3260 
1691264181.2961528 -4180 
1691264184.36634 -4487 
1691264193.4685247 -3260 
1691264202.4449832 -6633 
1691264207.5316021 -3567 
1691264212.6077015 -4487 
1691264215.5601609 -4794 
1691264216.6239674 -4794 
1691264218.6274688 -5713 
1691264234.6958718 -5100 
1691264240.7298982 6245 
1691264249.6859908 -3567 
1691264251.703804 -5713 
1691264253.8419163 -4180 
1691264255.7231264 -5407 
1691264261.8811405 -5713 
1691264273.928726 -3260 
1691264278.8696508 -3874 
1691264283.0323038 -5407 
1691264283.9619944 -4487 
1691264285.0253644 -4794 
1691264296.004301 -5713 
1691264302.0416677 -4487 
1691264303.1090317 -4487 
1691264319.1796196 -4794 
1691264320.108732 -4487 
1691264322.2375624 -5407 
1691264326.2608294 -4487 
1691264327.209626 -3874 
1691264332.3002143 -5100 
1691264357.318556 -5407 
1691264362.4083085 -3874 
1691264367.491275 -2954 
1691264388.5182781 -5407 
1691264394.5332818 -5713 
1691264395.6018667 -3874 
1691264396.5469804 -5100 
1691264400.5690746 -4180 
1691264408.7240422 -6020 
1691264419.6962397 -3874 
1691264425.7328684 -3874 
1691264426.8020616 -4180 
1691264427.875704 -4180 
1691264429.7482004 -3874 
1691264440.8518996 -2034 
1691264447.9490924 -4794 
1691264449.952251 -2647 
1691264462.943732 -4180 
1691264487.1695373 -3874 
1691264494.1248562 -5100 
1691264502.3018363 -3567 
1691264504.2949595 -3874 
1691264526.3973176 -4180 
1691264531.3409748 -4487 
1691264541.511575 -5713 
1691264553.5657368 -5407 
1691264566.5535142 -5407 
1691264568.555796 -3567 
1691264570.6935186 -4794 
1691264575.6597195 -4180 
1691264580.7504466 -5713 
1691264585.6890748 -5100 
1691264593.718604 -3567 
1691264598.81207 -5100 
1691264601.8973875 -5713 
1691264603.7726023 -5407 
1691264605.9085677 -2340 
1691264606.8405263 -4487 
1691264613.948719 -5407 
1691264633.0741146 -3567 
1691264643.1281438 -4487 
1691264664.1379082 -2954 
1691264666.1505902 -4794 
1691264668.1533911 -4794 
1691264670.2890804 -4487 
1691264674.3011658 -4487 
1691264676.3287082 -3260 
1691264678.3278093 -4794 
1691264701.3568068 -5713 
1691264702.4229343 -4180 
1691264704.4411805 -4180 
1691264705.5037272 -4794 
1691264726.519279 -5407 
1691264762.8067884 -5407 
1691264771.759419 -5407 
1691264772.8362553 -6020 
1691264773.778908 -4794 
1691264776.8529854 -4487 
1691264781.8119118 -5407 
1691264785.946046 -3260 
1691264788.9016755 -5407 
1691264815.1295674 -4487 
1691264828.1277058 -4487 
1691264829.2000942 -6633 
1691264832.148292 -6633 
1691264834.146691 -4487 
1691264855.171387 -5713 
1691264868.29344 -3874 
1691264916.3385913 -4180 
1691264935.3479974 -3874 
1691264944.45414 -5407 
1691264958.370575 -5100 
1691264961.4598515 -5407 
1691264966.4040408 -4180 
1691264977.5220287 -3260 
1691265012.5944774 -4487 
1691265039.6385567 -6020 
1691265042.7070773 -3874 
1691265046.7223167 -4487 
1691263225.4547215 -3567 
1691263254.1003444 -5100 
1691263256.1024249 -5100 
1691263279.656138 -4487 
1691263280.731211 -3260 
1691263302.829655 -4487 
1691263310.7106974 -5100 
1691263318.7488644 -4794 
1691263332.8142185 -6327 
1691263337.9005973 -3874 
1691263353.8215725 -5713 
1691263359.8643374 -4487 
1691263370.95002 -5407 
1691263376.84466 -5407 
1691263386.893036 -4180 
1691263395.9994938 -4794 
1691263420.1171973 -4487 
1691263436.013038 -5407 
1691263444.0470357 -4794 
1691263450.0809593 -6020 
1691263479.1220176 -4794 
1691263748.7504292 -4180 
1691263764.6773837 -6020 
1691263780.7407498 -3260 
1691263794.8049634 -5100 
1691263799.7492409 -4487 
1691263808.8520055 -4794 
1691263816.759205 -2954 
1691263821.847475 -4180 
1691263829.8763819 -4794 
1691263852.90373 -4180 
1691263894.2574632 -4487 
1691263895.203614 -6020 
1691263907.249713 -5407 
1691263910.3212163 -4794 
1691263918.3501067 -5713 
1691263919.304808 -5713 
1691263923.3130424 -2954 
1691263936.29058 -5407 
1691263955.4404852 -4180 
1691263982.4849231 -4180 
1691263991.4451125 -3874 
1691263994.533402 -4487 
1691263999.4764314 -4794 
1691264010.4520268 -3874 
1691264035.4875064 -4180 
1691264041.524957 -4180 
1691264045.5245237 -4794 
1691264063.6065595 -5100 
1691264106.7149625 -4180 
1691264130.6654727 -4180 
1691264133.7527866 -3567 
1691264135.7460587 -4180 
1691264177.7828019 -5100 
1691264180.8690016 -5407 
1691264183.8209882 -4794 
1691264190.9014673 -5407 
1691264194.9126065 -5407 
1691263653.8595958 -3260 
1691263660.945558 -5407 
1691263666.979783 -5407 
1691263668.974613 -4794 
1691263694.9439166 -3874 
1691263702.9756956 -4180 
1691263704.9982634 -5407 
1691263706.064716 -3567 
1691263714.1002164 -4487 
1691263750.0999424 -4794 
1691264305.2454648 -4487 
1691264324.254168 -4794 
1691264523.7110462 -4794 
1691264557.7122653 -4180 
1691264561.72283 -4487 
1691264566.8186867 -4794 
1691264572.702462 -5407 
1691264842.3141882 -3260 
1691264850.358173 -4180 
1691264852.3472428 -5407 
1691264881.6172624 -5100 
1691264882.475724 -6020 
1691264887.4196167 -6020 
1691264895.4518507 -4487 
1691264921.5696375 -3567 
1691264922.4920619 -4794 
