time nos1_mass nos2_mass
1691252635.686913 8372708 8388268 
1691252649.5455809 8372927 8388288 
1691252651.0355403 8372918 8388286 
1691252652.5266445 8372913 8388275 
1691252661.5984225 8372926 8388348 
1691252663.1773005 8372976 8388336 
1691252664.7554178 8372997 8388332 
1691252677.383286 8372991 8388343 
1691252693.165695 8372990 8388321 
1691252694.744711 8373004 8388424 
1691252696.3227026 8372966 8388361 
1691252699.48255 8372999 8388398 
1691252701.058145 8372966 8388387 
1691252702.6361983 8372984 8388401 
1691252704.215254 8372983 8388351 
1691252705.794505 8372999 8388381 
1691252708.9527256 8372958 8388340 
1691252710.5287516 8372974 8388359 
1691252712.0198107 8372984 8388326 
1691252713.5140867 8372992 8388366 
1691252715.000636 8373039 8388336 
1691252717.981906 8372951 8388352 
1691252719.4729095 8372975 8388339 
1691252721.055886 8372978 8388349 
1691252722.6311285 8372989 8388386 
1691252724.2092383 8373020 8388384 
1691252727.366295 8372994 8388329 
1691252728.948764 8373013 8388340 
1691252730.5243437 8373015 8388344 
1691252732.1025205 8372991 8388334 
1691252733.6814878 8372993 8388344 
1691252736.8450415 8373012 8388334 
1691252738.4167104 8373007 8388310 
1691252739.9951048 8373005 8388324 
1691252741.574117 8372956 8388372 
1691252743.1546087 8373026 8388349 
1691252746.3092809 8372978 8388331 
1691252747.887235 8373021 8388316 
1691252749.4697168 8373024 8388379 
1691252751.0459607 8372983 8388339 
1691252752.6241815 8372975 8388318 
1691252755.778643 8373005 8388336 
1691252757.3577805 8372989 8388344 
1691252758.9358304 8372999 8388357 
1691252760.516497 8372978 8388314 
1691252762.0974908 8372980 8388342 
1691252765.250016 8372983 8388360 
1691252766.833926 8372959 8388330 
1691252768.4074032 8372984 8388316 
1691252769.9853992 8372968 8388342 
1691252771.564663 8372994 8388305 
1691252774.7224684 8372962 8388317 
1691252774.7272167 8372962 8388317 
1691252777.8778486 8372933 8388329 
1691252779.4556725 8372997 8388350 
1691252781.0350037 8372999 8388292 
1691252784.10732 8372964 8388330 
1691252785.594024 8372981 8388335 
1691252787.0851514 8372996 8388326 
1691252788.5763183 8372980 8388341 
1691252790.070034 8372959 8388323 
1691252793.1365771 8373035 8388328 
1691252794.7143745 8373020 8388349 
1691252796.2924757 8373029 8388356 
1691252797.8751094 8373013 8388331 
1691252799.4496517 8373006 8388379 
1691252802.6069195 8373008 8388351 
1691252804.189361 8372982 8388371 
1691252805.765054 8373018 8388317 
1691252807.3432732 8373014 8388337 
1691252808.920269 8372991 8388394 
1691252812.077354 8372985 8388357 
1691252813.6563025 8373003 8388364 
1691252815.23634 8373032 8388334 
1691252816.817495 8373023 8388320 
1691252818.3917139 8373009 8388361 
1691252821.5501795 8372971 8388311 
1691252823.1272812 8372962 8388347 
1691252824.7050028 8372995 8388286 
1691252826.282892 8372982 8388345 
