time pressure_pt1 pressure_pt2 pressure_pt3 pressure_pt4
1691252635.4899359 -124 -124 -124 -124 
1691252644.3521423 -124 -124 -124 -125 
1691252648.76834 -124 -124 -124 -125 
1691252649.8685215 -124 -124 -124 -124 
1691252650.968572 -124 -124 -124 -124 
1691252652.0996752 -124 -124 -124 -124 
1691252653.1995916 -124 -124 -124 -124 
1691252661.2798645 -124 -124 -124 -125 
1691252662.4074135 -125 -124 -124 -125 
1691252663.5075543 -124 -124 -124 -124 
1691252664.6077409 -124 -124 -124 -124 
1691252677.9481924 -124 -124 -124 -125 
1691252679.0482373 -124 -124 -124 -125 
1691252687.9584062 -124 -124 -124 -125 
1691252693.5057786 -125 -124 -124 -125 
1691252694.6058254 -124 -124 -124 -124 
1691252695.736903 -125 -125 -124 -125 
1691252696.837193 -124 -124 -124 -125 
1691252697.939186 -124 -124 -124 -125 
1691252699.058133 -125 -125 -124 -125 
1691252700.184083 -124 -124 -124 -125 
1691252701.284019 -124 -124 -124 -125 
1691252702.3843703 -124 -124 -124 -124 
1691252703.5156877 -124 -124 -124 -124 
1691252704.6152463 -124 -124 -124 -125 
1691252705.719062 -124 -124 -124 -124 
1691252706.8506486 -124 -123 -124 -125 
1691252707.946274 -124 -125 -124 -125 
1691252709.06271 -124 -124 -124 -124 
1691252710.1627483 -124 -124 -124 -125 
1691252711.2942286 -124 -124 -124 -124 
1691252712.3942313 -124 -124 -124 -124 
1691252713.4970083 -124 -124 -124 -125 
1691252714.6298769 -124 -124 -124 -125 
1691252715.724523 -124 -124 -124 -125 
1691252716.824699 -124 -124 -124 -125 
1691252717.941364 -124 -124 -124 -125 
1691252719.0719063 -123 -124 -124 -125 
1691252720.1748006 -124 -124 -124 -125 
1691252721.2758443 -124 -124 -124 -125 
1691252722.375607 -124 -124 -124 -125 
1691252723.5032053 -124 -124 -124 -125 
1691252724.6032698 -124 -124 -124 -125 
1691252725.7033496 -124 -124 -124 -125 
1691252726.834433 -124 -124 -124 -124 
1691252727.9548807 -124 -124 -124 -124 
1691252729.0537946 -124 -124 -124 -125 
1691252730.1504107 -124 -124 -124 -124 
1691252731.2813845 -124 -124 -124 -124 
1691252732.3814213 -124 -124 -124 -125 
1691252733.4815118 -124 -124 -124 -125 
1691252734.6124861 -124 -124 -124 -125 
1691252735.7139695 -124 -124 -124 -125 
1691252736.8294854 -124 -124 -124 -124 
1691252737.9595745 -124 -123 -124 -124 
1691252739.0599504 -124 -124 -124 -125 
1691252740.1611156 -124 -124 -124 -124 
1691252741.2599266 -124 -124 -124 -124 
1691252742.3952541 -124 -124 -124 -125 
1691252743.4983783 -124 -124 -124 -124 
1691252744.591407 -124 -124 -124 -125 
1691252745.7222478 -125 -124 -124 -125 
1691252746.838273 -124 -124 -124 -124 
1691252747.938252 -124 -124 -124 -124 
1691252749.0410004 -124 -124 -124 -125 
1691252750.1734605 -124 -124 -124 -125 
1691252751.273107 -124 -124 -124 -125 
1691252752.3737657 -124 -123 -124 -125 
1691252753.5054848 -124 -124 -124 -125 
1691252754.6023486 -124 -124 -124 -125 
1691252755.7166922 -124 -124 -124 -125 
1691252756.847928 -124 -124 -124 -125 
1691252757.947721 -124 -124 -124 -124 
1691252759.0477524 -124 -124 -124 -124 
1691252760.151924 -124 -124 -124 -125 
1691252761.2830791 -124 -124 -124 -124 
1691252762.3817909 -124 -124 -124 -125 
1691252763.4790878 -124 -124 -124 -124 
1691252764.6103604 -124 -124 -124 -125 
1691252765.7263954 -124 -124 -124 -125 
1691252766.82654 -124 -124 -124 -125 
1691252767.9601514 -124 -124 -124 -125 
1691252769.0705464 -124 -124 -124 -125 
1691252770.1705976 -124 -124 -124 -125 
1691252771.270761 -124 -124 -124 -125 
1691252772.4054317 -124 -124 -124 -124 
1691252773.5046482 -124 -124 -124 -125 
1691252774.621299 -124 -124 -124 -124 
1691252775.7540348 -124 -124 -124 -124 
1691252776.8490295 -124 -124 -124 -125 
1691252777.9487596 -124 -124 -124 -124 
1691252779.0490365 -124 -124 -124 -125 
1691252780.1797 -124 -124 -124 -124 
1691252781.2796795 -124 -124 -124 -124 
1691252782.3845012 -124 -124 -124 -124 
1691252783.5131583 -124 -124 -124 -125 
1691252784.6323264 -124 -124 -124 -124 
1691252785.7271879 -124 -124 -124 -124 
1691252786.8272047 -124 -124 -124 -124 
1691252787.9583712 -124 -125 -124 -125 
1691252789.0583813 -124 -124 -124 -124 
1691252790.1617634 -124 -125 -124 -124 
1691252791.262518 -124 -124 -124 -124 
1691252792.395663 -124 -124 -124 -125 
1691252793.5056663 -124 -124 -124 -125 
1691252794.6057045 -124 -124 -124 -124 
1691252795.736575 -124 -124 -124 -125 
1691252796.836683 -124 -124 -124 -124 
1691252797.9391057 -124 -124 -124 -124 
1691252799.042274 -124 -124 -123 -125 
1691252800.1687365 -124 -124 -124 -125 
1691252801.2687364 -124 -124 -124 -124 
1691252802.3848703 -124 -124 -124 -125 
1691252803.5189352 -124 -124 -124 -124 
1691252804.6173863 -124 -124 -124 -124 
1691252805.7192335 -124 -124 -124 -124 
1691252806.8509004 -124 -123 -124 -125 
1691252807.9471567 -124 -124 -123 -125 
1691252809.0472486 -124 -124 -124 -125 
1691252810.1473107 -124 -124 -124 -125 
1691252811.2783873 -124 -124 -124 -124 
1691252812.3974454 -124 -124 -124 -123 
1691252813.498396 -124 -124 -124 -124 
1691252814.6257908 -124 -125 -124 -125 
1691252815.725353 -124 -124 -124 -124 
1691252816.8294804 -125 -124 -124 -125 
1691252817.9375217 -124 -124 -124 -124 
1691252819.0739837 -124 -124 -124 -124 
1691252820.173819 -124 -124 -124 -125 
1691252821.289774 -124 -125 -124 -125 
1691252822.4158041 -124 -124 -125 -125 
1691252823.5157886 -124 -124 -124 -124 
1691252824.6163747 -124 -124 -124 -124 
1691252825.7468505 -124 -124 -124 -124 
1691252826.847232 -124 -124 -124 -125 
1691252827.9513133 -124 -125 -124 -125 
1691252829.0471826 -124 -124 -124 -125 
1691252830.178428 -124 -124 -124 -124 
1691252831.2944384 -124 -125 -124 -124 
1691252832.3984349 -124 -124 -124 -125 
1691252833.5257726 -124 -124 -124 -124 
1691252834.6270244 -124 -124 -124 -124 
1691252835.7299945 -124 -124 -124 -124 
1691252836.8614323 -124 -124 -124 -125 
1691252837.9565375 -124 -124 -124 -124 
1691252839.0568075 -124 -124 -124 -125 
1691252866.8269887 -124 -124 -124 -124 
1691252867.9549713 -124 -124 -124 -125 
1691252869.071147 -124 -124 -124 -125 
1691252870.170968 -124 -124 -124 -125 
1691252871.2712526 -124 -125 -124 -125 
1691252872.4062598 -124 -124 -124 -125 
1691252873.5060925 -124 -124 -124 -124 
1691252874.6024413 -124 -124 -124 -125 
1691252875.7333152 -124 -124 -124 -124 
1691252876.83345 -124 -124 -124 -125 
1691252877.949988 -124 -124 -124 -124 
1691252879.0686595 -124 -124 -124 -123 
1691252880.200109 -124 -124 -125 -125 
1691252881.2984867 -124 -123 -124 -125 
1691252882.3968832 -123 -124 -124 -124 
1691252883.5259767 -124 -125 -124 -125 
1691252884.627848 -124 -124 -124 -125 
1691252885.7280817 -124 -124 -124 -125 
1691252886.8589933 -124 -124 -123 -124 
1691252887.980756 -124 -125 -124 -124 
