time rocket_mass
1691253109.9842176 8385303 
1691253110.3803651 8385340 
1691253111.3532417 8385325 
1691253112.331374 8385331 
1691253113.3978515 8385292 
1691253114.37549 8385324 
1691253115.3552508 8385348 
1691253116.3340218 8385371 
1691253117.396897 8385366 
1691253118.3746104 8385325 
1691253119.3604128 8385294 
1691253120.3299549 8385327 
1691253121.3978572 8385307 
1691253122.373786 8385325 
1691253123.351882 8385313 
1691253124.3301566 8385316 
1691253125.3971448 8385294 
1691253126.3740456 8385298 
1691253127.3538547 8385310 
1691253128.329056 8385300 
1691253129.3962185 8385301 
1691253130.373623 8385274 
1691253131.3520977 8385253 
1691253132.3299263 8385297 
1691253133.3978548 8385292 
1691253134.3769994 8385277 
1691253135.3513286 8385307 
1691253136.3297396 8385265 
1691253137.3952813 8385290 
1691253138.373007 8385268 
1691253139.3510063 8385256 
1691253140.330968 8385260 
1691253141.3947546 8385237 
1691253142.3735733 8385272 
1691253143.3524983 8385259 
1691253144.417194 8385213 
1691253145.394782 8385242 
1691253146.3743756 8385281 
1691253147.3510013 8385291 
1691253148.4172406 8385278 
1691253149.3941698 8385255 
1691253150.3722384 8385289 
1691253151.3493338 8385277 
1691253152.4181318 8385314 
1691253153.3924577 8385323 
1691253154.3705492 8385268 
1691253155.3482578 8385296 
1691253156.4143167 8385319 
1691253157.3932757 8385322 
1691253158.3719637 8385313 
1691253159.3493445 8385291 
1691253160.415465 8385308 
1691253161.392673 8385267 
1691253162.3698528 8385290 
1691253163.3470104 8385306 
1691253164.4159172 8385325 
1691253165.394477 8385308 
1691253166.3740351 8385287 
1691253167.3499944 8385294 
1691253168.4166768 8385312 
1691253169.3921566 8385294 
1691253170.3786664 8385309 
1691253171.346206 8385333 
1691253172.4122183 8385328 
1691253173.3913054 8385293 
1691253174.368049 8385339 
1691253175.3477747 8385320 
1691253176.4182422 8385311 
1691253177.3930726 8385355 
1691253178.3679314 8385281 
1691253179.345154 8385272 
1691253180.4135137 8385313 
1691253181.388822 8385312 
1691253182.366475 8385290 
1691253183.3465936 8385317 
1691253184.4109058 8385306 
1691253185.3880606 8385341 
1691253186.3669202 8385304 
1691253187.342931 8385332 
1691253188.4093027 8385293 
1691253189.3870358 8385330 
1691253190.3777623 8385333 
1691253191.3423932 8385309 
1691253192.4086783 8385302 
1691253193.3860424 8385297 
1691253194.3661158 8385274 
1691253195.3421755 8385335 
1691253196.4084702 8385259 
1691253197.3862808 8385326 
1691253198.3634088 8385293 
1691253199.342349 8385351 
1691253200.413632 8385340 
1691253201.38549 8385333 
1691253202.3635285 8385352 
1691253203.3409505 8385347 
1691253204.4075994 8385348 
1691253205.389723 8385351 
1691253206.3638895 8385294 
1691253207.3411396 8385311 
1691253208.407269 8385328 
1691253209.385297 8385323 
1691253210.3628767 8385344 
1691253211.3438392 8385335 
1691253212.4086292 8385340 
1691253213.385284 8385319 
1691253214.361975 8385297 
1691253215.3392892 8385320 
1691253216.4063551 8385359 
1691253217.386374 8385306 
1691253218.3614054 8385362 
1691253219.3398895 8385370 
1691253220.4079795 8385294 
1691253221.38404 8385307 
1691253222.3618486 8385316 
1691253223.3431885 8385334 
1691253224.4050193 8385352 
1691253225.382571 8385339 
1691253226.3596544 8385347 
1691253227.3382366 8385341 
1691253228.4042926 8385379 
1691253229.3830752 8385317 
1691253230.3592672 8385355 
1691253231.3368962 8385382 
1691253232.4039345 8385375 
1691253233.3821855 8385332 
1691253234.3592672 8385367 
1691253235.3408387 8385307 
1691253236.4033768 8385330 
1691253237.3816078 8385348 
1691253238.358331 8385376 
1691253239.336968 8385347 
