time Temperature_tc1 Temperature_tc2
1691253110.565908 1800 1900 
1691253111.5494604 1825 1925 
1691253112.5487435 1800 1925 
1691253113.5533693 1800 1925 
1691253114.5496979 1825 1925 
1691253115.5498872 1825 1925 
1691253116.5525906 1825 1950 
1691253117.5498586 1825 1925 
1691253118.5519009 1825 1950 
1691253119.550926 1825 1925 
1691253120.549903 1825 1925 
1691253121.5629783 1825 1925 
1691253122.5501163 1825 1925 
1691253123.5528371 1800 1925 
1691253124.549332 1825 1925 
1691253125.5507717 1825 1900 
1691253126.5506237 1800 1900 
1691253127.5531945 1800 1925 
1691253128.5498586 1800 1925 
1691253129.5506597 1800 1925 
1691253130.5503643 1800 1925 
1691253131.5505219 1800 1925 
1691253132.5491061 1800 1925 
1691253133.5511284 1825 1925 
1691253134.5523803 1800 1900 
1691253135.549533 1800 1900 
1691253136.5484247 1800 1900 
1691253137.5496998 1800 1900 
1691253138.5515535 1800 1900 
1691253139.5504656 1800 1900 
1691253140.5514374 1825 1925 
1691253141.5502374 1825 1925 
1691253142.54991 1825 1925 
1691253143.5521095 1825 1950 
1691253144.5505552 1850 1925 
1691253145.5500498 1825 1950 
1691253146.5543234 1825 1925 
1691253147.550378 1825 1925 
1691253148.5505228 1825 1925 
1691253149.550633 1825 1925 
1691253150.5507798 1825 1950 
1691253151.550673 1825 1925 
1691253152.5522397 1825 1925 
1691253153.550802 1825 1925 
1691253154.5508807 1825 1925 
1691253155.5508006 1825 1925 
1691253156.5528612 1825 1925 
1691253157.5505602 1825 1925 
1691253158.5520008 1825 1925 
1691253159.5548642 1825 1925 
1691253160.5511794 1825 1925 
1691253161.5511947 1825 1900 
1691253162.5511813 1825 1925 
1691253163.5539072 1825 1925 
1691253164.553764 1825 1925 
1691253165.553994 1825 1925 
1691253166.5542781 1825 1925 
1691253167.5535018 1825 1925 
1691253168.5546849 1825 1925 
1691253169.5595016 1800 1900 
1691253170.550255 1825 1925 
1691253171.5504975 1825 1950 
1691253172.5541399 1825 1950 
1691253173.5519733 1825 1950 
1691253174.551125 1825 1950 
1691253175.5520587 1825 1925 
1691253176.5523686 1825 1925 
1691253177.5535061 1825 1925 
1691253178.551453 1825 1925 
1691253179.555684 1825 1925 
1691253180.5517035 1825 1925 
1691253181.5513034 1825 1925 
1691253182.550809 1800 1925 
1691253183.5520484 1800 1925 
1691253184.5512655 1800 1925 
1691253185.5513015 1800 1925 
1691253186.5525584 1825 1925 
1691253187.5535874 1800 1925 
1691253188.553568 1825 1950 
1691253189.5519292 1825 1925 
1691253190.551564 1800 1925 
1691253191.5505753 1825 1925 
1691253192.551316 1825 1925 
1691253193.5513551 1800 1925 
1691253194.5540025 1800 1925 
1691253195.5504565 1825 1925 
1691253196.5515895 1825 1925 
1691253197.5515623 1825 1925 
1691253198.551793 1825 1925 
1691253199.5505636 1825 1925 
1691253200.5517957 1825 1900 
1691253201.5517483 1825 1900 
1691253202.551881 1800 1925 
1691253203.55105 1800 1900 
1691253204.5510743 1800 1900 
1691253205.553868 1800 1900 
1691253206.5515594 1800 1900 
1691253207.5518029 1800 1900 
1691253208.5514565 1800 1900 
1691253209.5536458 1800 1900 
1691253210.5515153 1800 1900 
1691253211.5542479 1825 1900 
1691253212.5515764 1825 1900 
1691253213.5514326 1825 1900 
1691253214.551487 1825 1900 
1691253215.550582 1825 1925 
1691253216.5517614 1825 1925 
1691253217.5547788 1825 1900 
1691253218.5516896 1825 1900 
1691253219.5505018 1825 1900 
1691253220.552426 1825 1900 
1691253221.5529585 1800 1900 
1691253222.5516434 1825 1900 
1691253223.5537832 1800 1900 
1691253224.5521529 1825 1900 
1691253225.5533347 1825 1900 
1691253226.5519567 1825 1900 
1691253227.5514286 1800 1900 
1691253228.5527027 1825 1900 
1691253229.5547705 1800 1900 
1691253230.552375 1800 1900 
1691253231.5512483 1800 1900 
1691253232.5521512 1800 1900 
1691253233.5525758 1800 1900 
1691253234.5522685 1800 1900 
1691253235.5554714 1800 1900 
1691253236.553789 1800 1900 
1691253237.553765 1800 1900 
1691253238.5528924 1800 1900 
1691253239.5518856 1825 1900 
1691253240.55193 1800 1925 
1691253241.5518792 1800 1900 
1691253242.5527134 1825 1900 
1691253243.5509014 1825 1900 
1691253244.5519173 1825 1900 
1691253245.5521843 1825 1900 
1691253246.5553377 1825 1900 
1691253247.5509462 1800 1900 
1691253248.5523744 1800 1900 
1691253249.5523643 1825 1900 
1691253250.5530574 1800 1925 
1691253251.551262 1800 1925 
1691253252.554183 1825 1925 
1691253253.553729 1800 1925 
1691253254.5523973 1825 1925 
1691253255.5512736 1800 1950 
1691253256.5523875 1800 1925 
1691253257.5522475 1825 1925 
1691253258.556165 1800 1900 
1691253259.5528965 1800 1925 
1691253260.55382 1800 1925 
1691253261.5539029 1825 1925 
1691253262.553335 1825 1925 
1691253263.5520952 1825 1925 
1691253264.5531075 1825 1925 
1691253265.5531707 1825 1925 
1691253266.5526636 1800 1925 
1691253267.551722 1800 1900 
1691253268.5537605 1825 1925 
1691253269.5559888 1825 1950 
1691253270.5541065 1825 1950 
1691253271.5520573 1825 1950 
1691253272.5530555 1825 1925 
1691253273.5533836 1825 1925 
1691253274.5531127 1825 1950 
1691253275.5552297 1825 1950 
1691253276.5529804 1825 1950 
1691253277.5521147 1825 1925 
1691253278.5526683 1825 1925 
1691253279.552708 1825 1925 
1691253280.5525753 1825 1925 
1691253281.5537589 1825 1925 
1691253282.5528734 1825 1925 
1691253283.5529373 1825 1925 
1691253284.5525644 1825 1925 
1691253285.5531394 1825 1925 
1691253286.5555022 1825 1925 
1691253287.5558987 1825 1925 
1691253288.5533798 1825 1925 
1691253289.554055 1825 1925 
1691253290.5528836 1825 1950 
1691253291.5533977 1825 1925 
1691253292.5534003 1825 1925 
1691253293.5561678 1825 1925 
1691253294.553354 1825 1925 
1691253295.5537236 1825 1925 
1691253296.5536096 1825 1925 
1691253297.5537071 1800 1925 
1691253298.554112 1825 1925 
1691253299.5570202 1825 1925 
1691253300.554364 1825 1925 
1691253301.555383 1825 1925 
1691253302.553808 1825 1925 
1691253303.5535192 1825 1925 
1691253304.5536082 1825 1925 
1691253305.5562193 1825 1925 
1691253306.5539987 1825 1925 
1691253307.5538747 1825 1925 
1691253308.5538292 1800 1925 
1691253309.554371 1825 1925 
1691253310.5542076 1825 1925 
1691253311.5557463 1825 1925 
1691253312.5531406 1825 1925 
1691253313.5535004 1825 1900 
1691253314.5533698 1825 1925 
1691253315.5535982 1825 1925 
1691253316.5537436 1825 1925 
1691253317.5585175 1825 1925 
1691253318.5533366 1825 1925 
1691253319.5534232 1825 1925 
1691253320.5536585 1825 1925 
1691253321.554681 1825 1950 
1691253322.5529335 1825 1950 
1691253323.556615 1825 1950 
1691253324.5540254 1825 1950 
1691253325.553918 1825 1925 
1691253326.5536923 1825 1925 
1691253327.5545974 1825 1925 
1691253328.554457 1825 1950 
1691253329.5591094 1825 1950 
1691253330.5543194 1825 1925 
1691253331.5551784 1825 1925 
1691253332.5547972 1825 1925 
